Time(s),IDD(A),ISS(A),P1(V),P0(V),P3(V),P2(V),P4(V),P5(V),P6(V),P7(V),A0(V),B3(V),B2(V),B0(V),A2(V),B1(V),A1(V),A3(V)
  2499.750e-9,  3.801141e-3,  0.000000e-3,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.000,     0.005,     0.650,     0.650,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000
  2499.800e-9,  3.384463e-3,  0.000000e-3,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.000,     0.007,     0.650,     0.650,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000
  2499.850e-9,  3.304122e-3,  0.000000e-3,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.000,     0.011,     0.650,     0.650,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000
  2499.900e-9,  3.438599e-3,  0.000000e-3,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.000,     0.012,     0.650,     0.650,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000
  2499.950e-9,  3.377122e-3,  0.000000e-3,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.000,     0.015,     0.650,     0.650,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000
  2500.000e-9,  3.429103e-3,  0.000000e-3,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.000,     0.013,     0.650,     0.650,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000
  2500.050e-9,  3.633687e-3,  0.000000e-3,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.000,     0.013,     0.650,     0.650,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000
  2500.100e-9,  3.848180e-3,  0.000000e-3,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.000,     0.008,     0.650,     0.650,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000
  2500.150e-9,  4.295524e-3,  0.000000e-3,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.000,     0.005,     0.650,     0.650,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000
  2500.200e-9,  4.405446e-3,  0.000000e-3,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.000,     0.007,     0.650,     0.650,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000
  2500.250e-9,  4.683208e-3,  0.000000e-3,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.000,     0.011,     0.650,     0.650,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000
  2500.300e-9,  4.868273e-3,  0.000000e-3,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.000,     0.012,     0.650,     0.650,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000
