Time(s),IDD(A),ISS(A),P1(V),P0(V),P3(V),P2(V),P4(V),P5(V),P6(V),P7(V),B2(V),B3(V),A1(V),A2(V),B0(V),B1(V),A0(V),A3(V)
     0.000e-9,  0.000000e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.010e-9,  2.026879e-3,  0.000000e-3,     0.001,     0.001,     0.001,     0.001,     0.000,     0.000,     0.000,     0.001,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.020e-9,  4.042922e-3,  0.000000e-3,     0.002,     0.003,     0.002,     0.002,     0.002,     0.001,     0.002,     0.003,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.030e-9,  6.023980e-3,  0.000000e-3,     0.005,     0.006,     0.004,     0.005,     0.004,     0.003,     0.004,     0.007,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.040e-9,  7.936137e-3,  0.000000e-3,     0.010,     0.011,     0.008,     0.010,     0.007,     0.006,     0.007,     0.014,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.050e-9,  9.740711e-3,  0.000000e-3,     0.016,     0.017,     0.013,     0.016,     0.011,     0.010,     0.011,     0.022,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.060e-9, 11.230718e-3,  0.000000e-3,     0.025,     0.026,     0.020,     0.024,     0.017,     0.016,     0.016,     0.032,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.070e-9, 12.682123e-3,  0.000000e-3,     0.035,     0.038,     0.029,     0.034,     0.024,     0.022,     0.023,     0.044,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.080e-9, 13.925743e-3,  0.000000e-3,     0.048,     0.051,     0.039,     0.046,     0.032,     0.031,     0.031,     0.058,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.090e-9, 14.944586e-3,  0.000000e-3,     0.063,     0.067,     0.051,     0.060,     0.042,     0.040,     0.041,     0.073,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.100e-9, 15.734212e-3,  0.000000e-3,     0.080,     0.085,     0.065,     0.076,     0.054,     0.051,     0.052,     0.087,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000
     0.110e-9, 16.310064e-3,  0.000000e-3,     0.100,     0.106,     0.081,     0.095,     0.067,     0.064,     0.065,     0.102,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000
