Time(s),IDD(A),ISS(A),P1(V),P0(V),P3(V),P2(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),P4(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),P5(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),P6(V),P7(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),B2(V),B3(V),A1(V),A2(V),B0(V),B1(V),A0(V),A3(V)
     0.001e-9,  0.049252e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.001,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.002e-9,  0.103733e-3,  0.000000e-3,     0.002,     0.002,     0.002,     0.002,     0.000,     0.000,     0.000,     0.000,     0.001,     0.000,     0.000,     0.000,     0.000,     0.001,     0.000,     0.000,     0.000,     0.000,     0.001,     0.003,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.003e-9,  0.157591e-3,  0.000000e-3,     0.005,     0.006,     0.004,     0.005,     0.001,     0.001,     0.001,     0.001,     0.004,     0.001,     0.001,     0.001,     0.001,     0.003,     0.001,     0.001,     0.001,     0.001,     0.004,     0.008,     0.001,     0.001,     0.001,     0.001,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.004e-9,  0.210441e-3,  0.000000e-3,     0.010,     0.011,     0.008,     0.009,     0.001,     0.001,     0.001,     0.001,     0.007,     0.001,     0.001,     0.001,     0.001,     0.006,     0.001,     0.001,     0.001,     0.001,     0.007,     0.015,     0.001,     0.001,     0.001,     0.001,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.005e-9,  0.261909e-3,  0.000000e-3,     0.016,     0.018,     0.013,     0.015,     0.002,     0.002,     0.002,     0.002,     0.011,     0.002,     0.002,     0.002,     0.002,     0.010,     0.002,     0.002,     0.002,     0.002,     0.011,     0.024,     0.002,     0.002,     0.002,     0.002,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.006e-9,  0.311636e-3,  0.000000e-3,     0.024,     0.026,     0.020,     0.023,     0.003,     0.003,     0.003,     0.003,     0.017,     0.003,     0.003,     0.003,     0.003,     0.015,     0.003,     0.003,     0.003,     0.003,     0.016,     0.035,     0.003,     0.003,     0.003,     0.003,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.007e-9,  0.359282e-3,  0.000000e-3,     0.034,     0.036,     0.027,     0.031,     0.004,     0.004,     0.004,     0.004,     0.023,     0.004,     0.004,     0.004,     0.004,     0.021,     0.004,     0.004,     0.004,     0.004,     0.023,     0.047,     0.004,     0.004,     0.004,     0.004,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.008e-9,  0.404526e-3,  0.000000e-3,     0.044,     0.048,     0.036,     0.041,     0.005,     0.005,     0.005,     0.005,     0.030,     0.005,     0.005,     0.005,     0.005,     0.028,     0.005,     0.005,     0.005,     0.005,     0.030,     0.062,     0.005,     0.005,     0.005,     0.005,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.009e-9,  0.447076e-3,  0.000000e-3,     0.057,     0.061,     0.046,     0.053,     0.007,     0.007,     0.007,     0.007,     0.039,     0.007,     0.007,     0.007,     0.007,     0.036,     0.007,     0.007,     0.007,     0.007,     0.038,     0.078,     0.007,     0.007,     0.007,     0.007,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.010e-9,  0.486667e-3,  0.000000e-3,     0.070,     0.076,     0.057,     0.066,     0.008,     0.008,     0.008,     0.008,     0.048,     0.008,     0.008,     0.008,     0.008,     0.045,     0.008,     0.008,     0.008,     0.008,     0.048,     0.095,     0.008,     0.008,     0.008,     0.008,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.011e-9,  0.523063e-3,  0.000000e-3,     0.085,     0.092,     0.069,     0.080,     0.010,     0.010,     0.010,     0.010,     0.059,     0.010,     0.010,     0.010,     0.010,     0.055,     0.010,     0.010,     0.010,     0.010,     0.058,     0.113,     0.010,     0.010,     0.010,     0.010,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.012e-9,  0.556032e-3,  0.000000e-3,     0.101,     0.110,     0.082,     0.095,     0.011,     0.011,     0.011,     0.011,     0.070,     0.011,     0.011,     0.011,     0.011,     0.065,     0.011,     0.011,     0.011,     0.011,     0.069,     0.132,     0.011,     0.011,     0.011,     0.011,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.013e-9,  0.585293e-3,  0.000000e-3,     0.119,     0.128,     0.097,     0.112,     0.013,     0.013,     0.013,     0.013,     0.083,     0.013,     0.013,     0.013,     0.013,     0.077,     0.013,     0.013,     0.013,     0.013,     0.081,     0.151,     0.013,     0.013,     0.013,     0.013,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.014e-9,  0.610757e-3,  0.000000e-3,     0.138,     0.149,     0.112,     0.129,     0.015,     0.015,     0.015,     0.015,     0.096,     0.015,     0.015,     0.015,     0.015,     0.089,     0.015,     0.015,     0.015,     0.015,     0.094,     0.170,     0.015,     0.015,     0.015,     0.015,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.015e-9,  0.633078e-3,  0.000000e-3,     0.157,     0.170,     0.128,     0.148,     0.016,     0.016,     0.016,     0.016,     0.110,     0.016,     0.016,     0.016,     0.016,     0.102,     0.016,     0.016,     0.016,     0.016,     0.108,     0.189,     0.016,     0.016,     0.016,     0.016,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.016e-9,  0.653097e-3,  0.000000e-3,     0.178,     0.192,     0.146,     0.167,     0.018,     0.018,     0.018,     0.018,     0.125,     0.018,     0.018,     0.018,     0.018,     0.116,     0.018,     0.018,     0.018,     0.018,     0.122,     0.208,     0.018,     0.018,     0.018,     0.018,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.017e-9,  0.671011e-3,  0.000000e-3,     0.199,     0.215,     0.163,     0.187,     0.020,     0.020,     0.020,     0.020,     0.140,     0.020,     0.020,     0.020,     0.020,     0.131,     0.020,     0.020,     0.020,     0.020,     0.138,     0.226,     0.020,     0.020,     0.020,     0.020,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.018e-9,  0.686494e-3,  0.000000e-3,     0.222,     0.238,     0.182,     0.208,     0.021,     0.021,     0.021,     0.021,     0.156,     0.021,     0.021,     0.021,     0.021,     0.146,     0.021,     0.021,     0.021,     0.021,     0.153,     0.243,     0.021,     0.021,     0.021,     0.021,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.019e-9,  0.699171e-3,  0.000000e-3,     0.244,     0.262,     0.201,     0.230,     0.023,     0.023,     0.023,     0.023,     0.173,     0.023,     0.023,     0.023,     0.023,     0.161,     0.023,     0.023,     0.023,     0.023,     0.170,     0.259,     0.023,     0.023,     0.023,     0.023,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.020e-9,  0.708856e-3,  0.000000e-3,     0.267,     0.287,     0.220,     0.252,     0.024,     0.024,     0.024,     0.024,     0.190,     0.024,     0.024,     0.024,     0.024,     0.177,     0.024,     0.024,     0.024,     0.024,     0.187,     0.274,     0.024,     0.024,     0.024,     0.024,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.021e-9,  0.715575e-3,  0.000000e-3,     0.290,     0.311,     0.240,     0.274,     0.025,     0.025,     0.025,     0.025,     0.207,     0.025,     0.025,     0.025,     0.025,     0.194,     0.025,     0.025,     0.025,     0.025,     0.204,     0.288,     0.025,     0.025,     0.025,     0.025,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.022e-9,  0.719551e-3,  0.000000e-3,     0.314,     0.336,     0.260,     0.296,     0.026,     0.026,     0.026,     0.026,     0.225,     0.026,     0.026,     0.026,     0.026,     0.210,     0.026,     0.026,     0.026,     0.026,     0.221,     0.300,     0.026,     0.026,     0.026,     0.026,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.023e-9,  0.721228e-3,  0.000000e-3,     0.337,     0.361,     0.281,     0.318,     0.027,     0.027,     0.027,     0.027,     0.243,     0.027,     0.027,     0.027,     0.027,     0.227,     0.027,     0.027,     0.027,     0.027,     0.239,     0.310,     0.027,     0.027,     0.027,     0.027,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.024e-9,  0.721289e-3,  0.000000e-3,     0.361,     0.385,     0.301,     0.341,     0.027,     0.027,     0.027,     0.027,     0.261,     0.027,     0.027,     0.027,     0.027,     0.244,     0.027,     0.027,     0.027,     0.027,     0.257,     0.318,     0.027,     0.027,     0.027,     0.027,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.025e-9,  0.720553e-3,  0.000000e-3,     0.384,     0.410,     0.322,     0.363,     0.027,     0.027,     0.027,     0.027,     0.279,     0.027,     0.027,     0.027,     0.027,     0.262,     0.027,     0.027,     0.027,     0.027,     0.276,     0.324,     0.027,     0.027,     0.027,     0.027,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.026e-9,  0.719650e-3,  0.000000e-3,     0.407,     0.433,     0.342,     0.386,     0.027,     0.027,     0.027,     0.027,     0.297,     0.027,     0.027,     0.027,     0.027,     0.279,     0.027,     0.027,     0.027,     0.027,     0.294,     0.329,     0.027,     0.027,     0.027,     0.027,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.027e-9,  0.718693e-3,  0.000000e-3,     0.430,     0.457,     0.363,     0.408,     0.027,     0.027,     0.027,     0.027,     0.316,     0.027,     0.027,     0.027,     0.027,     0.297,     0.027,     0.027,     0.027,     0.027,     0.312,     0.332,     0.027,     0.027,     0.027,     0.027,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.028e-9,  0.717223e-3,  0.000000e-3,     0.452,     0.479,     0.383,     0.429,     0.027,     0.027,     0.027,     0.027,     0.334,     0.027,     0.027,     0.027,     0.027,     0.314,     0.027,     0.027,     0.027,     0.027,     0.331,     0.333,     0.027,     0.027,     0.027,     0.027,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.029e-9,  0.714417e-3,  0.000000e-3,     0.473,     0.501,     0.404,     0.450,     0.027,     0.027,     0.027,     0.027,     0.353,     0.027,     0.027,     0.027,     0.027,     0.332,     0.027,     0.027,     0.027,     0.027,     0.349,     0.334,     0.027,     0.027,     0.027,     0.027,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.030e-9,  0.709344e-3,  0.000000e-3,     0.494,     0.521,     0.424,     0.471,     0.027,     0.027,     0.027,     0.027,     0.371,     0.027,     0.027,     0.027,     0.027,     0.350,     0.027,     0.027,     0.027,     0.027,     0.368,     0.334,     0.027,     0.027,     0.027,     0.027,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.031e-9,  0.701170e-3,  0.000000e-3,     0.514,     0.540,     0.443,     0.491,     0.026,     0.026,     0.026,     0.026,     0.390,     0.026,     0.026,     0.026,     0.026,     0.367,     0.026,     0.026,     0.026,     0.026,     0.386,     0.334,     0.026,     0.026,     0.026,     0.026,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.032e-9,  0.689287e-3,  0.000000e-3,     0.532,     0.557,     0.463,     0.510,     0.026,     0.026,     0.026,     0.026,     0.408,     0.026,     0.026,     0.026,     0.026,     0.385,     0.026,     0.026,     0.026,     0.026,     0.404,     0.332,     0.026,     0.026,     0.026,     0.026,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.033e-9,  0.673384e-3,  0.000000e-3,     0.549,     0.573,     0.481,     0.528,     0.025,     0.025,     0.025,     0.025,     0.426,     0.025,     0.025,     0.025,     0.025,     0.402,     0.025,     0.025,     0.025,     0.025,     0.422,     0.331,     0.025,     0.025,     0.025,     0.025,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.034e-9,  0.653462e-3,  0.000000e-3,     0.565,     0.587,     0.499,     0.544,     0.025,     0.025,     0.025,     0.025,     0.443,     0.025,     0.025,     0.025,     0.025,     0.419,     0.025,     0.025,     0.025,     0.025,     0.440,     0.329,     0.025,     0.025,     0.025,     0.025,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.035e-9,  0.629835e-3,  0.000000e-3,     0.579,     0.599,     0.517,     0.560,     0.024,     0.024,     0.024,     0.024,     0.461,     0.024,     0.024,     0.024,     0.024,     0.436,     0.024,     0.024,     0.024,     0.024,     0.457,     0.326,     0.024,     0.024,     0.024,     0.024,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.036e-9,  0.603077e-3,  0.000000e-3,     0.592,     0.609,     0.533,     0.574,     0.023,     0.023,     0.023,     0.023,     0.478,     0.023,     0.023,     0.023,     0.023,     0.453,     0.023,     0.023,     0.023,     0.023,     0.474,     0.323,     0.023,     0.023,     0.023,     0.023,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
