Time(s),IDD(A),ISS(A),Product_OUT(V),Carry_OUT(V),AixBi(V),Product_IN(V),Carry_IN(V)
    20.000e-9,  0.318147e-3,  0.000000e-3,     0.650,     0.011,     0.000,     0.000,     0.065
    20.001e-9,  0.771497e-3,  0.000000e-3,     0.650,     0.011,     0.000,     0.000,     0.000
    20.002e-9,  0.868148e-3,  0.000000e-3,     0.650,     0.011,     0.000,     0.000,     0.000
    20.003e-9,  0.953261e-3,  0.000000e-3,     0.650,     0.011,     0.000,     0.000,     0.000
    20.004e-9,  1.006148e-3,  0.000000e-3,     0.650,     0.011,     0.000,     0.000,     0.000
    20.005e-9,  1.027798e-3,  0.000000e-3,     0.650,     0.011,     0.000,     0.000,     0.000
    20.006e-9,  1.025676e-3,  0.000000e-3,     0.650,     0.010,     0.000,     0.000,     0.000
    20.007e-9,  1.007668e-3,  0.000000e-3,     0.650,     0.010,     0.000,     0.000,     0.000
    20.008e-9,  0.981035e-3,  0.000000e-3,     0.650,     0.010,     0.000,     0.000,     0.000
    20.009e-9,  0.952060e-3,  0.000000e-3,     0.650,     0.010,     0.000,     0.000,     0.000
    20.010e-9,  0.925054e-3,  0.000000e-3,     0.650,     0.010,     0.000,     0.000,     0.000
    20.011e-9,  0.901351e-3,  0.000000e-3,     0.650,     0.010,     0.000,     0.000,     0.000
    20.012e-9,  0.879379e-3,  0.000000e-3,     0.650,     0.010,     0.000,     0.000,     0.000
    20.013e-9,  0.856018e-3,  0.000000e-3,     0.650,     0.010,     0.000,     0.000,     0.000
    20.014e-9,  0.828268e-3,  0.000000e-3,     0.650,     0.010,     0.000,     0.000,     0.000
    20.015e-9,  0.794281e-3,  0.000000e-3,     0.650,     0.010,     0.000,     0.000,     0.000
    20.016e-9,  0.753655e-3,  0.000000e-3,     0.650,     0.010,     0.000,     0.000,     0.000
    20.017e-9,  0.707268e-3,  0.000000e-3,     0.650,     0.010,     0.000,     0.000,     0.000
    20.018e-9,  0.656892e-3,  0.000000e-3,     0.650,     0.010,     0.000,     0.000,     0.000
    20.019e-9,  0.604751e-3,  0.000000e-3,     0.650,     0.009,     0.000,     0.000,     0.000
    20.020e-9,  0.553122e-3,  0.000000e-3,     0.650,     0.009,     0.000,     0.000,     0.000
    20.021e-9,  0.504008e-3,  0.000000e-3,     0.650,     0.009,     0.000,     0.000,     0.000
    20.022e-9,  0.458948e-3,  0.000000e-3,     0.650,     0.009,     0.000,     0.000,     0.000
    20.023e-9,  0.418931e-3,  0.000000e-3,     0.650,     0.009,     0.000,     0.000,     0.000
    20.024e-9,  0.384415e-3,  0.000000e-3,     0.650,     0.009,     0.000,     0.000,     0.000
    20.025e-9,  0.355419e-3,  0.000000e-3,     0.650,     0.009,     0.000,     0.000,     0.000
    20.026e-9,  0.331641e-3,  0.000000e-3,     0.650,     0.009,     0.000,     0.000,     0.000
    20.027e-9,  0.312571e-3,  0.000000e-3,     0.650,     0.009,     0.000,     0.000,     0.000
    20.028e-9,  0.297596e-3,  0.000000e-3,     0.650,     0.009,     0.000,     0.000,     0.000
    20.029e-9,  0.286068e-3,  0.000000e-3,     0.650,     0.009,     0.000,     0.000,     0.000
    20.030e-9,  0.277355e-3,  0.000000e-3,     0.650,     0.009,     0.000,     0.000,     0.000
    20.031e-9,  0.275503e-3,  0.000000e-3,     0.650,     0.009,     0.000,     0.000,     0.000
    20.032e-9,  0.277043e-3,  0.000000e-3,     0.649,     0.008,     0.000,     0.000,     0.000
    20.033e-9,  0.276916e-3,  0.000000e-3,     0.649,     0.008,     0.000,     0.000,     0.000
    20.034e-9,  0.275509e-3,  0.000000e-3,     0.649,     0.008,     0.000,     0.000,     0.000
    20.035e-9,  0.273128e-3,  0.000000e-3,     0.649,     0.008,     0.000,     0.000,     0.000
    20.036e-9,  0.270008e-3,  0.000000e-3,     0.648,     0.008,     0.000,     0.000,     0.000
    20.037e-9,  0.266319e-3,  0.000000e-3,     0.647,     0.008,     0.000,     0.000,     0.000
